groupId,op,op2,op3,Mac Device Family,Vendor Id (VID),Product Id (PID),Mac Device Serial Number,Mac Encrypted,Device Control Group
9b28fae8-72f7-4267-a1a5-685f747a7146,or,,,portable_devices,,,,,
65fa649a-a111-4912-9294-fb6337a25038,and,,,,0781,7102,03003324080520232521,,
65fa649a-a111-4912-9294-fb6337a25038,and,,,,0781,7102,03003324080520232521,,
9b28fae8-72f7-4267-a1a5-685f747a7146,or,,,portable_devices,,,,,
fb4ad01e-f41a-46c6-9ac1-268efa0ea083,and,,,portable_devices,1908,0226,,,
7f191817-c305-451d-812a-1c4b03ebcec8,and,,,,054C,0B6F,,,
1653593b-5b92-47e6-975a-c43ffa9cd28d,and,,,,0461,4DFE,,,
d2887bd4-a916-4011-a385-83c6b15df529,and,,,,0F7E,900C,,,
3f082cd3-f701-4c21-9a6a-ed115c28e217,,,,apple_devices,,,,,
94b5df10-bd2f-4b19-8a9f-539520b9d6ff,,,,removable_media_devices,,,,,
3778B4FD-A98B-4374-9EFE-859B98446E7D,or,,,apple_devices,,,,,
3f082cd3-f701-4c21-9a6a-ed115c28e417,,,,bluetooth_devices,,,,,
1A783D32-C6A3-4F5F-9D47-271B12130DFD,and,,,bluetooth_devices,0075,0100,,,
519a2e50-3bb7-49b7-9ae0-6feb415d58ca,,,,removable_media_devices,,,,,
3f082cd3-f701-4c21-9a6a-ed115c28e41D,,,,portable_devices,,,,,
3f082cd3-f701-4c21-9a6a-ed115c28e211,,,,removable_media_devices,,,,,
0B2198B2-8E29-4AAB-AFC8-8B2CF827CDE9,,,,portable_devices,,,,,
3D2A9EF0-E587-4B90-A60F-C9BD6F9D2BB4,,,,apple_devices,,,,,
3f082cd3-f701-4c21-9a6a-ed115c28e211,,,,removable_media_devices,,,,,
3f082cd3-f701-4c21-9a6a-ed115c28e212,,,,,0951,,,,
